,minute,open,high,low,close
0,05/30/2021 04:13,34022.51,34048.76,33977.07,33977.07
1,05/30/2021 04:14,33987.69,34043.86,33918.3,33933.08
2,05/30/2021 04:15,33946.88,33993.25,33875.4,33880.59
3,05/30/2021 04:16,33880.6,33913.75,33805.66,33900
4,05/30/2021 04:17,33894.56,33894.56,33831.93,33837.48
5,05/30/2021 04:18,33833.93,33933.55,33823.42,33882.63
6,05/30/2021 04:19,33880.32,33918.22,33832.85,33914.95
7,05/30/2021 04:20,33907.77,33914.27,33780.34,33798.32
8,05/30/2021 04:21,33802.77,33871.76,33802.77,33831.99
9,05/30/2021 04:22,33830.65,33913.54,33818.77,33866.81
10,05/30/2021 04:23,33862.38,33918.08,33819.21,33879.13
11,05/30/2021 04:24,33879.13,33907.32,33858.37,33859.38
12,05/30/2021 04:25,33859.38,33929.83,33847.58,33857.17
13,05/30/2021 04:26,33857.16,33879.28,33828.07,33844.54
14,05/30/2021 04:27,33844.52,33886.71,33832.58,33876.9
15,05/30/2021 04:28,33868.56,34109.55,33865.77,34054.03
16,05/30/2021 04:29,34057.1,34196.68,34025.87,34120.01
17,05/30/2021 04:30,34120,34220,34058.26,34198.85
18,05/30/2021 04:31,34198.84,34269.45,34172.4,34199
19,05/30/2021 04:32,34204.87,34350.68,34201.17,34324.41
20,05/30/2021 04:33,34324.41,34365.78,34226.3,34304.76
21,05/30/2021 04:34,34304.75,34340,34234.46,34234.81
22,05/30/2021 04:35,34234.81,34368.73,34154.63,34156.08
23,05/30/2021 04:36,34156.33,34174.85,34002.37,34058.07
24,05/30/2021 04:37,34058.07,34279.27,34058.07,34257.64
